provinsi,kabupaten,tahun,luas_lahan_ha,produksi_kg,curah_hujan_mm,pH_tanah,suhu_tanah_c
Sulawesi Selatan,Wajo,2022,2138.0,11549212.0,2305.0,5.7,32.0
Jawa Timur,Lamongan,2022,4974.0,27273144.0,1392.0,5.8,31.0
Jawa Barat,Karawang,2022,6374.0,33767003.0,1460.0,6.4,28.0
Sulawesi Selatan,Wajo,2022,3863.0,23883105.0,3409.0,5.7,32.0
Sumatera Selatan,OKU Timur,2022,2971.0,16554268.0,2933.0,5.7,28.0
Jawa Tengah,Boyolali,2022,6640.0,33269470.0,2729.0,6.2,26.0
Jawa Timur,Ngawi,2022,5620.0,26821816.0,1490.0,6.2,27.0
Sulawesi Selatan,Pinrang,2022,4256.0,19905605.0,3094.0,5.9,30.0
Jawa Barat,Bogor,2022,2162.0,11364934.0,3171.0,6.5,27.0
Sumatera Selatan,Banyuasin,2022,3230.0,15394252.0,1439.0,5.4,31.0
Sulawesi Selatan,Pinrang,2022,1265.0,8473001.0,1528.0,5.9,30.0
Jawa Barat,Cianjur,2022,5542.0,31842945.0,1535.0,6.6,25.0
Jawa Barat,Cianjur,2022,4944.0,24173792.0,2629.0,6.6,25.0
